,CHIQAP_TOKEN_CHIQAQ,CHIQAP_TOKEN_MANA_CHIQAQ,CHIQI_KAY_TOKEN,COMA_TOKEN,DOS_PUNTOS_TOKEN,HATUN_RURAY_TOKEN,IDENTIFICADOR_TOKEN,LLAVE_ABRE,LLAVE_CIERRA,OPERADOR_ASIGNACION,OPERADOR_IGUALDAD,OPERADOR_LOGICO_UTAQ,OPERADOR_LOGICO_WAN,OPERADOR_MANA_IGUAL,OPERADOR_MAS,OPERADOR_MAYOR,OPERADOR_MAYOR_IGUAL,OPERADOR_MENOR,OPERADOR_MENOR_IGUAL,OPERADOR_MENOS,OPERADOR_MODULO,OPERADOR_PACHA,OPERADOR_RAKI,PALABRA_RESERVADA_IMPRIMIY,PALABRA_RESERVADA_KUTIPAY,PALABRA_RESERVADA_MANA_SICHUS,PALABRA_RESERVADA_PAKIY,PALABRA_RESERVADA_PARA,PALABRA_RESERVADA_RURAY,PALABRA_RESERVADA_SICHUS,PALABRA_RESERVADA_VAR,PARENTESIS_ABRE,PARENTESIS_CIERRA,PUNTO_Y_COMA_TOKEN,QILLQA_TOKEN,TIPO_CHIQAP,TIPO_CHIQI,TIPO_QILLQA,TIPO_YUPAY,YUPAY_TOKEN,$
AsignacionBucle,AsignacionBucleDato,AsignacionBucleDato,AsignacionBucleDato,,,,ValorUnitario,,,,,,,,,,,,,,,,,,,,,,,,,,,,AsignacionBucleDato,,,,,AsignacionBucleDato,
AsignacionBucleDato,Dato,Dato,Dato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dato,,,,,Dato,
ExpressionOpt,Expression,Expression,Expression,,,,Expression,,,,,,,,,,,,,,,,,,,,,,,,,Expression,,epsilon,Expression,,,,,Expression,
LoopUpdateOpt,,,,,,,IncrementoStmt,,,,,,,,,,,,,,,,,,,,,,,,,,epsilon,,,,,,,,
Estructura_If,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALABRA_RESERVADA_SICHUS PARENTESIS_ABRE Expression PARENTESIS_CIERRA Block ElseOpcional,,,,,,,,,,,
ElseOpcional,,,,,,,ElseOpcionalVacio,,ElseOpcionalVacio,,,,,,,,,,,,,,,ElseOpcionalVacio,ElseOpcionalVacio,ManaSichusBloque,ElseOpcionalVacio,ElseOpcionalVacio,,ElseOpcionalVacio,ElseOpcionalVacio,,,,,,,,,,
ManaSichusBloque,,,,,,,,,,,,,,,,,,,,,,,,,,PALABRA_RESERVADA_MANA_SICHUS ArgumentosElseIf Block ElseOpcional,,,,,,,,,,,,,,,
ElseOpcionalVacio,,,,,,,epsilon,,epsilon,,,,,,,,,,,,,,,epsilon,epsilon,,epsilon,epsilon,,epsilon,epsilon,,,,,,,,,,
ArgumentosElseIf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARENTESIS_ABRE Expression PARENTESIS_CIERRA,,,,,,,,,
Retorno,,,,,,,,,,,,,,,,,,,,,,,,,RetornoConValor,,RetornoSinValor,,,,,,,,,,,,,,
RetornoConValor,,,,,,,,,,,,,,,,,,,,,,,,,PALABRA_RESERVADA_KUTIPAY Expression PUNTO_Y_COMA_TOKEN,,,,,,,,,,,,,,,,
RetornoSinValor,,,,,,,,,,,,,,,,,,,,,,,,,,,PALABRA_RESERVADA_PAKIY PUNTO_Y_COMA_TOKEN,,,,,,,,,,,,,,
Dato,CHIQAP_TOKEN_CHIQAQ,CHIQAP_TOKEN_MANA_CHIQAQ,CHIQI_KAY_TOKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QILLQA_TOKEN,,,,,YUPAY_TOKEN,
OpcionLogico,,,,,,,,,,,,OpcionLogicoUtaq,OpcionLogicoWan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpcionLogicoWan,,,,,,,,,,,,,OPERADOR_LOGICO_WAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpcionLogicoUtaq,,,,,,,,,,,,OPERADOR_LOGICO_UTAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpcionComparacion,,,,,,,,,,,OpcionComparacionIgual,,,OpcionComparacionNoIgual,,OpcionComparacionMayor,OpcionComparacionMayorIgual,OpcionComparacionMenor,OpcionComparacionMenorIgual,,,,,,,,,,,,,,,,,,,,,,
OpcionComparacionIgual,,,,,,,,,,,OPERADOR_IGUALDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpcionComparacionNoIgual,,,,,,,,,,,,,,OPERADOR_MANA_IGUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpcionComparacionMenor,,,,,,,,,,,,,,,,,,OPERADOR_MENOR,,,,,,,,,,,,,,,,,,,,,,,
OpcionComparacionMayor,,,,,,,,,,,,,,,,OPERADOR_MAYOR,,,,,,,,,,,,,,,,,,,,,,,,,
OpcionComparacionMenorIgual,,,,,,,,,,,,,,,,,,,OPERADOR_MENOR_IGUAL,,,,,,,,,,,,,,,,,,,,,,
OpcionComparacionMayorIgual,,,,,,,,,,,,,,,,,OPERADOR_MAYOR_IGUAL,,,,,,,,,,,,,,,,,,,,,,,,
